CSV,Berlin,Hamburg,Munchen,Koln,Frankfurt,Stuttgart,Dusseldorf,Dortmund,Essen,Bremen,Dresden,Leipzig,Hannover,Nurnberg,Duisburg,Bochum,Wuppertal,Bonn,Bielefeld,Mannheim,Karlsruhe,Munster,Wiesbaden,Augsburg,Aachen,Monchengladbach,Gelsenkirchen,Braunschweig,Chemnitz,Kiel,Krefeld,Halle,Magdeburg,Freiburg,Oberhausen,Lubeck,Erfurt,Rostock,Mainz,Kassel,Hagen,Hamm,Saarbrucken,Mulheim,Herne,Ludwigshafen,Osnabruck,Oldenburg,Leverkusen,Solingen,Potsdam,Neuss,Heidelberg,Paderborn,Darmstadt,Regensburg,Wurzburg,Ingolstadt,Heilbronn,Ulm,Wolfsburg,Gottingen,Offenbach,Pforzheim,Recklinghausen,Bottrop,Furth,Bremerhaven,Reutlingen,Remscheid,Koblenz,Bergisch_Gladbach,Erlangen,Moers,Trier,Jena,Siegen,Hildesheim,Salzgitter,Cottbus,St_Augustine,Baden_Baden,Basel_Switzerland
Berlin,NULL,289 km: 2 hours 54 mins,585 km: 5 hours 20 mins,573 km: 5 hours 13 mins,549 km: 5 hours 1 min,632 km: 5 hours 50 mins,561 km: 5 hours 9 mins,493 km: 4 hours 29 mins,531 km: 4 hours 51 mins,394 km: 3 hours 37 mins,192 km: 2 hours 2 mins,190 km: 1 hour 56 mins,286 km: 2 hours 46 mins,437 km: 4 hours 10 mins,547 km: 4 hours 54 mins,517 km: 4 hours 42 mins,529 km: 4 hours 46 mins,596 km: 5 hours 24 mins,392 km: 3 hours 40 mins,624 km: 5 hours 38 mins,679 km: 6 hours 10 mins,472 km: 4 hours 29 mins,571 km: 5 hours 8 mins,587 km: 5 hours 31 mins,635 km: 5 hours 50 mins,585 km: 5 hours 28 mins,517 km: 4 hours 41 mins,229 km: 2 hours 16 mins,262 km: 2 hours 34 mins,355 km: 3 hours 39 mins,572 km: 5 hours 10 mins,170 km: 1 hour 45 mins,155 km: 1 hour 34 mins,810 km: 7 hours 20 mins,540 km: 4 hours 47 mins,313 km: 2 hours 59 mins,301 km: 2 hours 57 mins,231 km: 2 hours 14 mins,575 km: 5 hours 17 mins,379 km: 3 hours 40 mins,504 km: 4 hours 33 mins,463 km: 4 hours 13 mins,724 km: 6 hours 34 mins,540 km: 4 hours 59 mins,511 km: 4 hours 34 mins,625 km: 5 hours 39 mins,417 km: 3 hours 59 mins,437 km: 4 hours 2 mins,558 km: 4 hours 57 mins,543 km: 4 hours 59 mins,34.2 km: 35 mins,563 km: 5 hours 11 mins,629 km: 5 hours 40 mins,428 km: 3 hours 57 mins,572 km: 5 hours 12 mins,497 km: 4 hours 35 mins,483 km: 4 hours 24 mins,510 km: 4 hours 39 mins,592 km: 5 hours 24 mins,622 km: 5 hours 37 mins,227 km: 2 hours 10 mins,336 km: 3 hours 14 mins,552 km: 5 hours 2 mins,662 km: 6 hours 1 min,506 km: 4 hours 35 mins,524 km: 4 hours 45 mins,454 km: 4 hours 13 mins,448 km: 4 hours 4 mins,675 km: 6 hours 8 mins,535 km: 4 hours 49 mins,604 km: 5 hours 38 mins,559 km: 5 hours 11 mins,443 km: 4 hours 5 mins,555 km: 5 hours 0 mins,720 km: 6 hours 43 mins,259 km: 2 hours 28 mins,578 km: 5 hours 15 mins,281 km: 2 hours 43 mins,249 km: 2 hours 23 mins,128 km: 1 hour 27 mins,594 km: 5 hours 22 mins,714 km: 6 hours 25 mins,868 km: 7 hours 51 mins
Hamburg,288 km: 2 hours 47 mins,NULL,775 km: 7 hours 2 mins,425 km: 3 hours 57 mins,496 km: 4 hours 36 mins,655 km: 6 hours 9 mins,401 km: 3 hours 46 mins,344 km: 3 hours 14 mins,366 km: 3 hours 26 mins,126 km: 1 hour 15 mins,505 km: 4 hours 32 mins,396 km: 3 hours 37 mins,151 km: 1 hour 35 mins,607 km: 5 hours 39 mins,376 km: 3 hours 27 mins,351 km: 3 hours 15 mins,380 km: 3 hours 30 mins,448 km: 4 hours 8 mins,251 km: 2 hours 26 mins,570 km: 5 hours 13 mins,625 km: 5 hours 45 mins,282 km: 2 hours 38 mins,517 km: 4 hours 43 mins,745 km: 6 hours 48 mins,487 km: 4 hours 34 mins,427 km: 4 hours 1 min,355 km: 3 hours 16 mins,199 km: 1 hour 56 mins,491 km: 4 hours 27 mins,97.1 km: 1 hour 5 mins,400 km: 3 hours 43 mins,355 km: 3 hours 17 mins,279 km: 2 hours 33 mins,756 km: 6 hours 55 mins,368 km: 3 hours 20 mins,68.2 km: 55 mins,361 km: 4 hours 9 mins,182 km: 1 hour 47 mins,521 km: 4 hours 52 mins,310 km: 2 hours 59 mins,356 km: 3 hours 17 mins,322 km: 2 hours 58 mins,670 km: 6 hours 9 mins,375 km: 3 hours 34 mins,346 km: 3 hours 8 mins,571 km: 5 hours 14 mins,232 km: 2 hours 12 mins,168 km: 1 hour 40 mins,409 km: 3 hours 41 mins,395 km: 3 hours 43 mins,284 km: 2 hours 50 mins,414 km: 3 hours 55 mins,575 km: 5 hours 15 mins,287 km: 2 hours 42 mins,518 km: 4 hours 47 mins,703 km: 6 hours 17 mins,508 km: 4 hours 40 mins,700 km: 6 hours 21 mins,614 km: 5 hours 43 mins,696 km: 6 hours 17 mins,221 km: 2 hours 5 mins,266 km: 2 hours 33 mins,498 km: 4 hours 37 mins,646 km: 5 hours 56 mins,338 km: 3 hours 7 mins,353 km: 3 hours 17 mins,600 km: 5 hours 32 mins,179 km: 1 hour 42 mins,697 km: 6 hours 27 mins,387 km: 3 hours 33 mins,529 km: 4 hours 49 mins,411 km: 3 hours 55 mins,590 km: 5 hours 23 mins,384 km: 3 hours 34 mins,608 km: 5 hours 44 mins,465 km: 4 hours 10 mins,429 km: 3 hours 59 mins,180 km: 1 hour 45 mins,207 km: 1 hour 59 mins,412 km: 3 hours 59 mins,446 km: 4 hours 6 mins,660 km: 6 hours 0 mins,814 km: 7 hours 26 mins
Munchen,585 km: 5 hours 23 mins,791 km: 7 hours 4 mins,NULL,574 km: 5 hours 19 mins,392 km: 3 hours 43 mins,231 km: 2 hours 22 mins,616 km: 5 hours 44 mins,604 km: 5 hours 34 mins,633 km: 5 hours 54 mins,767 km: 6 hours 47 mins,467 km: 4 hours 14 mins,430 km: 3 hours 55 mins,633 km: 5 hours 54 mins,169 km: 1 hour 43 mins,633 km: 5 hours 48 mins,617 km: 5 hours 43 mins,616 km: 5 hours 41 mins,557 km: 5 hours 9 mins,596 km: 5 hours 28 mins,358 km: 3 hours 30 mins,300 km: 2 hours 59 mins,659 km: 6 hours 3 mins,423 km: 3 hours 55 mins,79.8 km: 57 mins,643 km: 5 hours 58 mins,637 km: 5 hours 54 mins,635 km: 5 hours 52 mins,602 km: 5 hours 27 mins,386 km: 3 hours 31 mins,887 km: 7 hours 52 mins,636 km: 5 hours 56 mins,439 km: 4 hours 2 mins,523 km: 4 hours 42 mins,423 km: 4 hours 8 mins,637 km: 5 hours 48 mins,858 km: 7 hours 37 mins,396 km: 3 hours 46 mins,775 km: 6 hours 53 mins,434 km: 4 hours 2 mins,476 km: 4 hours 29 mins,589 km: 5 hours 24 mins,613 km: 5 hours 45 mins,441 km: 4 hours 31 mins,625 km: 5 hours 50 mins,623 km: 5 hours 43 mins,359 km: 3 hours 31 mins,643 km: 6 hours 11 mins,810 km: 7 hours 13 mins,581 km: 5 hours 18 mins,600 km: 5 hours 37 mins,563 km: 5 hours 1 min,619 km: 5 hours 45 mins,343 km: 3 hours 20 mins,556 km: 5 hours 11 mins,397 km: 3 hours 51 mins,128 km: 1 hour 23 mins,277 km: 2 hours 39 mins,80.1 km: 56 mins,290 km: 2 hours 58 mins,156 km: 1 hour 36 mins,600 km: 5 hours 21 mins,515 km: 4 hours 48 mins,384 km: 3 hours 38 mins,270 km: 2 hours 41 mins,632 km: 5 hours 50 mins,645 km: 5 hours 58 mins,174 km: 1 hour 46 mins,821 km: 7 hours 14 mins,219 km: 2 hours 28 mins,607 km: 5 hours 37 mins,511 km: 4 hours 45 mins,578 km: 5 hours 26 mins,187 km: 1 hour 49 mins,641 km: 5 hours 55 mins,534 km: 5 hours 7 mins,371 km: 3 hours 25 mins,516 km: 4 hours 48 mins,603 km: 5 hours 36 mins,600 km: 5 hours 26 mins,587 km: 5 hours 12 mins,547 km: 5 hours 3 mins,328 km: 3 hours 13 mins,394 km: 3 hours 57 mins
Koln,576 km: 5 hours 17 mins,428 km: 3 hours 59 mins,576 km: 5 hours 14 mins,NULL,191 km: 1 hour 54 mins,367 km: 3 hours 31 mins,44.5 km: 39 mins,96.2 km: 1 hour 5 mins,73.2 km: 58 mins,317 km: 3 hours 1 min,580 km: 5 hours 18 mins,500 km: 4 hours 33 mins,294 km: 2 hours 46 mins,407 km: 3 hours 51 mins,73.0 km: 52 mins,84.8 km: 1 hour 1 min,56.3 km: 44 mins,34.4 km: 29 mins,195 km: 1 hour 54 mins,248 km: 2 hours 23 mins,303 km: 2 hours 53 mins,151 km: 1 hour 34 mins,176 km: 1 hour 42 mins,523 km: 4 hours 58 mins,72.3 km: 57 mins,57.2 km: 51 mins,94.5 km: 1 hour 5 mins,356 km: 3 hours 18 mins,506 km: 4 hours 40 mins,512 km: 4 hours 40 mins,60.4 km: 46 mins,461 km: 4 hours 17 mins,436 km: 3 hours 55 mins,433 km: 4 hours 3 mins,76.8 km: 51 mins,487 km: 4 hours 36 mins,369 km: 3 hours 33 mins,602 km: 5 hours 28 mins,180 km: 1 hour 51 mins,249 km: 2 hours 27 mins,78.8 km: 55 mins,125 km: 1 hour 23 mins,260 km: 2 hours 41 mins,65.6 km: 53 mins,90.5 km: 1 hour 1 min,245 km: 2 hours 26 mins,204 km: 2 hours 3 mins,306 km: 2 hours 54 mins,20.7 km: 20 mins,40.4 km: 40 mins,554 km: 4 hours 54 mins,40.2 km: 35 mins,252 km: 2 hours 25 mins,185 km: 1 hour 56 mins,200 km: 1 hour 59 mins,510 km: 4 hours 42 mins,302 km: 2 hours 50 mins,500 km: 4 hours 33 mins,315 km: 2 hours 58 mins,451 km: 4 hours 14 mins,378 km: 3 hours 27 mins,296 km: 2 hours 52 mins,198 km: 1 hour 56 mins,323 km: 3 hours 5 mins,99.8 km: 1 hour 8 mins,86.4 km: 1 hour 4 mins,401 km: 3 hours 44 mins,380 km: 3 hours 36 mins,397 km: 3 hours 45 mins,48.1 km: 40 mins,117 km: 1 hour 12 mins,15.9 km: 29 mins,396 km: 3 hours 38 mins,75.4 km: 55 mins,189 km: 2 hours 5 mins,412 km: 3 hours 52 mins,94.3 km: 1 hour 2 mins,337 km: 3 hours 7 mins,365 km: 3 hours 21 mins,668 km: 5 hours 53 mins,32.8 km: 28 mins,338 km: 3 hours 8 mins,492 km: 4 hours 35 mins
Frankfurt,551 km: 5 hours 4 mins,496 km: 4 hours 36 mins,393 km: 3 hours 40 mins,190 km: 1 hour 55 mins,NULL,204 km: 2 hours 6 mins,232 km: 2 hours 20 mins,223 km: 2 hours 12 mins,249 km: 2 hours 30 mins,444 km: 4 hours 9 mins,472 km: 4 hours 14 mins,396 km: 3 hours 36 mins,354 km: 3 hours 23 mins,224 km: 2 hours 17 mins,249 km: 2 hours 24 mins,236 km: 2 hours 21 mins,232 km: 2 hours 17 mins,173 km: 1 hour 45 mins,317 km: 2 hours 56 mins,84.2 km: 58 mins,139 km: 1 hour 29 mins,278 km: 2 hours 42 mins,38.8 km: 30 mins,362 km: 3 hours 27 mins,259 km: 2 hours 33 mins,252 km: 2 hours 30 mins,254 km: 2 hours 31 mins,339 km: 3 hours 15 mins,398 km: 3 hours 36 mins,592 km: 5 hours 23 mins,252 km: 2 hours 31 mins,401 km: 3 hours 42 mins,426 km: 3 hours 57 mins,270 km: 2 hours 39 mins,253 km: 2 hours 23 mins,556 km: 5 hours 13 mins,261 km: 2 hours 29 mins,670 km: 6 hours 6 mins,43.5 km: 39 mins,197 km: 1 hour 57 mins,208 km: 2 hours 3 mins,252 km: 2 hours 31 mins,185 km: 1 hour 53 mins,241 km: 2 hours 25 mins,242 km: 2 hours 21 mins,85.6 km: 59 mins,331 km: 3 hours 11 mins,433 km: 4 hours 2 mins,197 km: 1 hour 54 mins,216 km: 2 hours 13 mins,529 km: 4 hours 42 mins,235 km: 2 hours 21 mins,89.0 km: 1 hour 0 mins,277 km: 2 hours 39 mins,32.9 km: 32 mins,327 km: 3 hours 8 mins,119 km: 1 hour 16 mins,318 km: 2 hours 59 mins,152 km: 1 hour 33 mins,287 km: 2 hours 50 mins,368 km: 3 hours 28 mins,236 km: 2 hours 16 mins,10.3 km: 18 mins,160 km: 1 hour 41 mins,251 km: 2 hours 29 mins,262 km: 2 hours 36 mins,218 km: 2 hours 10 mins,507 km: 4 hours 44 mins,234 km: 2 hours 21 mins,223 km: 2 hours 12 mins,127 km: 1 hour 20 mins,194 km: 2 hours 1 min,213 km: 2 hours 4 mins,257 km: 2 hours 30 mins,189 km: 2 hours 16 mins,304 km: 2 hours 48 mins,135 km: 1 hour 26 mins,323 km: 3 hours 4 mins,318 km: 3 hours 0 mins,592 km: 5 hours 12 mins,163 km: 1 hour 38 mins,174 km: 1 hour 44 mins,329 km: 3 hours 11 mins
Stuttgart,633 km: 5 hours 50 mins,656 km: 6 hours 11 mins,233 km: 2 hours 23 mins,367 km: 3 hours 31 mins,208 km: 2 hours 5 mins,NULL,409 km: 3 hours 56 mins,418 km: 3 hours 56 mins,426 km: 4 hours 6 mins,638 km: 5 hours 53 mins,515 km: 4 hours 40 mins,478 km: 4 hours 22 mins,514 km: 4 hours 57 mins,211 km: 2 hours 6 mins,426 km: 4 hours 0 mins,431 km: 4 hours 5 mins,409 km: 3 hours 53 mins,347 km: 3 hours 20 mins,477 km: 4 hours 30 mins,134 km: 1 hour 25 mins,82.1 km: 56 mins,473 km: 4 hours 26 mins,213 km: 2 hours 5 mins,164 km: 1 hour 45 mins,417 km: 3 hours 59 mins,410 km: 3 hours 55 mins,447 km: 4 hours 14 mins,499 km: 4 hours 50 mins,435 km: 3 hours 58 mins,752 km: 6 hours 58 mins,431 km: 4 hours 7 mins,488 km: 4 hours 29 mins,572 km: 5 hours 8 mins,205 km: 2 hours 4 mins,430 km: 3 hours 59 mins,716 km: 6 hours 48 mins,340 km: 3 hours 21 mins,824 km: 7 hours 19 mins,215 km: 2 hours 6 mins,357 km: 3 hours 31 mins,403 km: 3 hours 47 mins,447 km: 4 hours 15 mins,223 km: 2 hours 28 mins,419 km: 4 hours 1 min,437 km: 4 hours 5 mins,136 km: 1 hour 26 mins,525 km: 4 hours 55 mins,628 km: 5 hours 46 mins,375 km: 3 hours 30 mins,393 km: 3 hours 48 mins,612 km: 5 hours 27 mins,411 km: 3 hours 56 mins,119 km: 1 hour 17 mins,437 km: 4 hours 13 mins,178 km: 1 hour 49 mins,300 km: 2 hours 53 mins,148 km: 1 hour 30 mins,238 km: 2 hours 34 mins,54.4 km: 47 mins,92.1 km: 1 hour 1 min,528 km: 5 hours 2 mins,396 km: 3 hours 51 mins,211 km: 2 hours 6 mins,51.8 km: 38 mins,446 km: 4 hours 13 mins,439 km: 4 hours 12 mins,216 km: 2 hours 9 mins,686 km: 6 hours 21 mins,38.5 km: 31 mins,400 km: 3 hours 48 mins,277 km: 2 hours 45 mins,372 km: 3 hours 37 mins,236 km: 2 hours 16 mins,434 km: 4 hours 6 mins,311 km: 3 hours 2 mins,382 km: 3 hours 40 mins,329 km: 3 hours 10 mins,484 km: 4 hours 39 mins,478 km: 4 hours 34 mins,635 km: 5 hours 39 mins,341 km: 3 hours 14 mins,110 km: 1 hour 9 mins,264 km: 2 hours 36 mins
Dusseldorf,560 km: 5 hours 11 mins,403 km: 3 hours 48 mins,613 km: 5 hours 38 mins,39.4 km: 38 mins,229 km: 2 hours 18 mins,405 km: 3 hours 55 mins,NULL,69.9 km: 57 mins,34.8 km: 36 mins,291 km: 2 hours 50 mins,588 km: 5 hours 21 mins,484 km: 4 hours 27 mins,278 km: 2 hours 39 mins,445 km: 4 hours 15 mins,27.8 km: 28 mins,50.7 km: 44 mins,35.1 km: 32 mins,73.5 km: 55 mins,180 km: 1 hour 48 mins,282 km: 2 hours 46 mins,338 km: 3 hours 16 mins,126 km: 1 hour 23 mins,213 km: 2 hours 6 mins,561 km: 5 hours 22 mins,84.7 km: 1 hour 0 mins,32.8 km: 30 mins,47.7 km: 44 mins,340 km: 3 hours 12 mins,542 km: 5 hours 1 min,487 km: 4 hours 30 mins,27.9 km: 25 mins,446 km: 4 hours 11 mins,420 km: 3 hours 49 mins,471 km: 4 hours 27 mins,38.7 km: 31 mins,462 km: 4 hours 26 mins,405 km: 3 hours 54 mins,576 km: 5 hours 18 mins,218 km: 2 hours 15 mins,233 km: 2 hours 21 mins,62.9 km: 49 mins,109 km: 1 hour 17 mins,298 km: 3 hours 2 mins,27.1 km: 32 mins,53.2 km: 49 mins,283 km: 2 hours 46 mins,178 km: 1 hour 52 mins,281 km: 2 hours 44 mins,33.0 km: 28 mins,32.2 km: 34 mins,538 km: 4 hours 48 mins,9.9 km: 16 mins,290 km: 2 hours 48 mins,169 km: 1 hour 50 mins,238 km: 2 hours 23 mins,547 km: 5 hours 6 mins,340 km: 3 hours 14 mins,538 km: 4 hours 57 mins,353 km: 3 hours 22 mins,489 km: 4 hours 38 mins,362 km: 3 hours 21 mins,280 km: 2 hours 46 mins,236 km: 2 hours 20 mins,361 km: 3 hours 29 mins,72.9 km: 54 mins,48.2 km: 43 mins,438 km: 4 hours 8 mins,355 km: 3 hours 26 mins,435 km: 4 hours 9 mins,41.0 km: 44 mins,155 km: 1 hour 35 mins,46.1 km: 47 mins,434 km: 4 hours 2 mins,42.9 km: 33 mins,199 km: 2 hours 22 mins,447 km: 4 hours 13 mins,130 km: 1 hour 23 mins,322 km: 3 hours 1 min,349 km: 3 hours 15 mins,652 km: 5 hours 47 mins,72.0 km: 53 mins,376 km: 3 hours 32 mins,530 km: 4 hours 59 mins
Dortmund,493 km: 4 hours 31 mins,346 km: 3 hours 13 mins,606 km: 5 hours 30 mins,94.4 km: 1 hour 2 mins,224 km: 2 hours 12 mins,418 km: 3 hours 58 mins,70.3 km: 56 mins,NULL,37.0 km: 31 mins,235 km: 2 hours 15 mins,522 km: 4 hours 41 mins,418 km: 3 hours 46 mins,212 km: 1 hour 59 mins,438 km: 4 hours 7 mins,56.9 km: 44 mins,22.7 km: 21 mins,49.9 km: 36 mins,117 km: 1 hour 14 mins,113 km: 1 hour 7 mins,298 km: 2 hours 50 mins,353 km: 3 hours 21 mins,69.3 km: 48 mins,245 km: 2 hours 20 mins,575 km: 5 hours 16 mins,156 km: 1 hour 40 mins,96.7 km: 1 hour 12 mins,35.5 km: 30 mins,274 km: 2 hours 32 mins,480 km: 4 hours 21 mins,431 km: 3 hours 55 mins,72.0 km: 58 mins,379 km: 3 hours 30 mins,354 km: 3 hours 9 mins,484 km: 4 hours 31 mins,52.9 km: 36 mins,406 km: 3 hours 50 mins,348 km: 3 hours 17 mins,520 km: 4 hours 43 mins,250 km: 2 hours 29 mins,167 km: 1 hour 40 mins,20.6 km: 23 mins,42.8 km: 36 mins,350 km: 3 hours 26 mins,46.1 km: 39 mins,23.3 km: 20 mins,300 km: 2 hours 51 mins,122 km: 1 hour 17 mins,224 km: 2 hours 9 mins,78.8 km: 47 mins,64.3 km: 49 mins,472 km: 4 hours 8 mins,83.8 km: 1 hour 0 mins,303 km: 2 hours 52 mins,103 km: 1 hour 10 mins,247 km: 2 hours 24 mins,540 km: 4 hours 58 mins,333 km: 3 hours 6 mins,531 km: 4 hours 49 mins,366 km: 3 hours 25 mins,501 km: 4 hours 42 mins,296 km: 2 hours 40 mins,214 km: 2 hours 5 mins,227 km: 2 hours 14 mins,374 km: 3 hours 33 mins,32.6 km: 27 mins,44.7 km: 35 mins,431 km: 4 hours 0 mins,298 km: 2 hours 51 mins,448 km: 4 hours 13 mins,56.3 km: 39 mins,198 km: 1 hour 55 mins,80.2 km: 1 hour 0 mins,426 km: 3 hours 54 mins,65.2 km: 50 mins,278 km: 2 hours 49 mins,391 km: 3 hours 36 mins,98.2 km: 1 hour 3 mins,255 km: 2 hours 21 mins,283 km: 2 hours 35 mins,586 km: 5 hours 7 mins,116 km: 1 hour 12 mins,389 km: 3 hours 36 mins,543 km: 5 hours 3 mins
Essen,528 km: 4 hours 53 mins,367 km: 3 hours 27 mins,635 km: 5 hours 50 mins,72.1 km: 55 mins,250 km: 2 hours 30 mins,426 km: 4 hours 6 mins,35.9 km: 36 mins,37.8 km: 33 mins,NULL,256 km: 2 hours 29 mins,556 km: 5 hours 5 mins,452 km: 4 hours 10 mins,247 km: 2 hours 22 mins,466 km: 4 hours 26 mins,21.9 km: 20 mins,18.7 km: 20 mins,37.3 km: 38 mins,94.8 km: 1 hour 6 mins,148 km: 1 hour 30 mins,307 km: 2 hours 58 mins,362 km: 3 hours 29 mins,90.2 km: 1 hour 1 min,234 km: 2 hours 17 mins,582 km: 5 hours 33 mins,125 km: 1 hour 26 mins,62.4 km: 52 mins,13.7 km: 19 mins,309 km: 2 hours 54 mins,514 km: 4 hours 45 mins,451 km: 4 hours 8 mins,46.7 km: 36 mins,413 km: 3 hours 55 mins,388 km: 3 hours 31 mins,492 km: 4 hours 39 mins,26.1 km: 20 mins,426 km: 4 hours 4 mins,382 km: 3 hours 41 mins,540 km: 4 hours 56 mins,239 km: 2 hours 26 mins,201 km: 2 hours 5 mins,56.8 km: 44 mins,77.2 km: 59 mins,327 km: 3 hours 18 mins,11.1 km: 15 mins,21.2 km: 25 mins,308 km: 2 hours 59 mins,143 km: 1 hour 31 mins,245 km: 2 hours 22 mins,56.5 km: 40 mins,43.9 km: 46 mins,506 km: 4 hours 30 mins,41.3 km: 44 mins,311 km: 3 hours 0 mins,137 km: 1 hour 34 mins,259 km: 2 hours 35 mins,569 km: 5 hours 18 mins,361 km: 3 hours 26 mins,559 km: 5 hours 9 mins,374 km: 3 hours 34 mins,510 km: 4 hours 50 mins,330 km: 3 hours 3 mins,248 km: 2 hours 29 mins,257 km: 2 hours 32 mins,382 km: 3 hours 41 mins,31.4 km: 31 mins,12.4 km: 19 mins,459 km: 4 hours 20 mins,319 km: 3 hours 4 mins,456 km: 4 hours 21 mins,64.0 km: 47 mins,176 km: 1 hour 47 mins,67.4 km: 59 mins,455 km: 4 hours 14 mins,30.3 km: 26 mins,256 km: 2 hours 42 mins,425 km: 4 hours 0 mins,129 km: 1 hour 24 mins,290 km: 2 hours 43 mins,317 km: 2 hours 57 mins,620 km: 5 hours 29 mins,93.3 km: 1 hour 5 mins,397 km: 3 hours 44 mins,551 km: 5 hours 11 mins
Bremen,396 km: 3 hours 40 mins,128 km: 1 hour 18 mins,753 km: 6 hours 46 mins,314 km: 3 hours 0 mins,444 km: 4 hours 11 mins,632 km: 5 hours 53 mins,291 km: 2 hours 49 mins,233 km: 2 hours 17 mins,255 km: 2 hours 29 mins,NULL,483 km: 4 hours 16 mins,373 km: 3 hours 22 mins,128 km: 1 hour 20 mins,585 km: 5 hours 23 mins,265 km: 2 hours 31 mins,241 km: 2 hours 19 mins,270 km: 2 hours 33 mins,337 km: 3 hours 11 mins,184 km: 2 hours 2 mins,519 km: 4 hours 49 mins,574 km: 5 hours 20 mins,171 km: 1 hour 42 mins,465 km: 4 hours 18 mins,722 km: 6 hours 33 mins,376 km: 3 hours 37 mins,316 km: 3 hours 4 mins,244 km: 2 hours 19 mins,177 km: 1 hour 41 mins,469 km: 4 hours 11 mins,212 km: 1 hour 59 mins,290 km: 2 hours 47 mins,332 km: 3 hours 2 mins,257 km: 2 hours 18 mins,704 km: 6 hours 30 mins,258 km: 2 hours 24 mins,188 km: 1 hour 55 mins,338 km: 3 hours 53 mins,302 km: 2 hours 47 mins,470 km: 4 hours 27 mins,287 km: 2 hours 44 mins,246 km: 2 hours 20 mins,216 km: 2 hours 10 mins,570 km: 5 hours 23 mins,264 km: 2 hours 37 mins,235 km: 2 hours 11 mins,520 km: 4 hours 49 mins,121 km: 1 hour 15 mins,50.1 km: 38 mins,299 km: 2 hours 45 mins,284 km: 2 hours 47 mins,375 km: 3 hours 17 mins,304 km: 2 hours 58 mins,523 km: 4 hours 51 mins,264 km: 2 hours 27 mins,467 km: 4 hours 22 mins,680 km: 6 hours 1 min,486 km: 4 hours 24 mins,678 km: 6 hours 5 mins,586 km: 5 hours 24 mins,673 km: 6 hours 1 min,199 km: 1 hour 50 mins,244 km: 2 hours 17 mins,447 km: 4 hours 12 mins,594 km: 5 hours 32 mins,228 km: 2 hours 10 mins,243 km: 2 hours 21 mins,578 km: 5 hours 16 mins,65.5 km: 41 mins,668 km: 6 hours 12 mins,276 km: 2 hours 37 mins,418 km: 3 hours 52 mins,300 km: 2 hours 58 mins,567 km: 5 hours 8 mins,274 km: 2 hours 37 mins,498 km: 4 hours 47 mins,443 km: 3 hours 54 mins,319 km: 3 hours 2 mins,158 km: 1 hour 30 mins,185 km: 1 hour 43 mins,489 km: 4 hours 16 mins,336 km: 3 hours 10 mins,609 km: 5 hours 35 mins,763 km: 7 hours 2 mins
Dresden,193 km: 1 hour 57 mins,498 km: 4 hours 32 mins,461 km: 4 hours 13 mins,571 km: 5 hours 14 mins,465 km: 4 hours 13 mins,508 km: 4 hours 44 mins,585 km: 5 hours 19 mins,515 km: 4 hours 38 mins,550 km: 5 hours 2 mins,474 km: 4 hours 15 mins,NULL,113 km: 1 hour 17 mins,366 km: 3 hours 24 mins,313 km: 3 hours 3 mins,569 km: 5 hours 15 mins,535 km: 4 hours 52 mins,552 km: 4 hours 56 mins,566 km: 5 hours 15 mins,472 km: 4 hours 19 mins,539 km: 4 hours 50 mins,550 km: 5 hours 3 mins,553 km: 4 hours 57 mins,486 km: 4 hours 20 mins,463 km: 4 hours 24 mins,646 km: 5 hours 57 mins,609 km: 5 hours 37 mins,548 km: 5 hours 1 min,309 km: 2 hours 54 mins,78.9 km: 56 mins,593 km: 5 hours 19 mins,585 km: 5 hours 29 mins,146 km: 1 hour 29 mins,230 km: 2 hours 9 mins,681 km: 6 hours 13 mins,577 km: 5 hours 7 mins,501 km: 4 hours 45 mins,216 km: 2 hours 9 mins,419 km: 4 hours 0 mins,490 km: 4 hours 29 mins,354 km: 3 hours 16 mins,528 km: 4 hours 43 mins,501 km: 4 hours 36 mins,639 km: 5 hours 46 mins,559 km: 5 hours 10 mins,536 km: 4 hours 51 mins,540 km: 4 hours 51 mins,497 km: 4 hours 37 mins,517 km: 4 hours 41 mins,581 km: 5 hours 7 mins,567 km: 5 hours 9 mins,212 km: 1 hour 58 mins,586 km: 5 hours 21 mins,524 km: 4 hours 47 mins,444 km: 4 hours 2 mins,488 km: 4 hours 24 mins,344 km: 3 hours 13 mins,368 km: 3 hours 22 mins,386 km: 3 hours 32 mins,468 km: 4 hours 18 mins,498 km: 4 hours 30 mins,307 km: 2 hours 49 mins,328 km: 2 hours 59 mins,468 km: 4 hours 14 mins,538 km: 4 hours 54 mins,543 km: 4 hours 55 mins,561 km: 5 hours 5 mins,330 km: 3 hours 6 mins,528 km: 4 hours 42 mins,551 km: 5 hours 2 mins,559 km: 4 hours 59 mins,520 km: 4 hours 50 mins,560 km: 5 hours 11 mins,319 km: 2 hours 58 mins,578 km: 5 hours 21 mins,635 km: 5 hours 55 mins,174 km: 1 hour 40 mins,490 km: 4 hours 30 mins,340 km: 3 hours 14 mins,307 km: 2 hours 53 mins,135 km: 1 hour 22 mins,556 km: 5 hours 8 mins,585 km: 5 hours 18 mins,739 km: 6 hours 45 mins
